ID,mese,annrif,progind,sesso,eta10,staciv4,reg,rip,istr4,condogg,posiz4,ateco3,cond4,ORARIO,RAPP,CODPROF7,progesc,DEST_EIE,DEST_ERE,DEST_EPR,MOTESC,PARTESC,NPARTESC,EMEZZO,TRIM
0,1,2014,16,2,1,1,170,4,1,0,0,0,0,0,0,0,1,1,17,77,5,1,4,5,1
1,3,2014,21,1,1,1,180,4,1,0,0,0,0,0,0,0,1,1,18,78,3,1,4,5,1
2,7,2014,33,1,4,3,150,4,2,1,4,3,1,0,0,2,1,1,15,63,1,2,1,3,3
3,7,2014,33,1,4,3,150,4,2,1,4,3,1,0,0,2,2,1,15,63,7,2,1,5,3
4,3,2014,39,2,8,4,40,2,1,3,0,0,3,0,0,0,1,1,4,22,2,2,1,5,1
5,3,2014,39,2,8,4,40,2,1,3,0,0,3,0,0,0,2,1,4,22,1,2,1,5,1
6,6,2014,40,1,1,1,30,1,1,0,0,0,0,0,0,0,1,1,5,23,1,1,4,5,2
7,7,2014,58,1,3,1,20,1,2,1,2,3,1,1,2,4,1,2,200,0,1,1,2,6,3
8,3,2014,72,1,6,2,80,2,2,1,2,2,1,1,2,5,1,1,8,36,1,1,2,5,1
9,3,2014,72,1,6,2,80,2,2,1,2,2,1,1,2,5,2,1,8,37,1,1,2,5,1
10,10,2014,81,1,3,1,40,2,3,1,3,2,1,0,0,1,1,1,5,23,1,1,3,5,4
11,5,2014,93,2,1,1,80,2,1,0,0,0,0,0,0,0,1,1,8,40,1,1,4,5,2
12,5,2014,93,2,1,1,80,2,1,0,0,0,0,0,0,0,2,1,8,99,1,1,4,5,2
13,8,2014,96,1,3,1,50,2,3,1,1,3,1,1,2,4,1,1,8,37,1,2,1,4,3
14,8,2014,96,1,3,1,50,2,3,1,1,3,1,1,2,4,2,1,5,27,1,2,1,5,3
15,8,2014,105,1,7,3,30,1,3,3,1,3,4,0,0,3,1,1,3,17,1,1,2,5,3
16,1,2014,106,1,7,2,80,2,1,3,2,2,4,0,0,5,1,1,5,23,1,2,1,5,1
17,7,2014,128,2,7,2,60,2,1,3,2,2,3,0,0,5,1,1,6,30,3,2,1,5,3
18,12,2014,147,2,6,3,30,1,2,1,2,3,1,1,2,4,1,1,3,17,1,2,1,5,4
19,8,2014,160,1,1,1,70,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,3
20,7,2014,164,1,8,1,40,2,1,3,4,1,4,0,0,5,1,1,4,22,5,2,1,5,3
21,11,2014,169,2,6,2,40,2,3,1,1,3,1,1,2,3,1,1,3,14,8,1,2,5,4
22,12,2014,222,2,5,2,150,4,2,1,2,3,1,1,2,6,1,1,15,63,1,1,3,5,4
23,6,2014,239,1,2,1,160,4,3,2,0,0,3,0,0,0,1,1,16,75,1,2,1,7,2
24,6,2014,239,1,2,1,160,4,3,2,0,0,3,0,0,0,2,1,16,75,1,2,1,5,2
25,3,2014,241,1,7,2,80,2,2,3,2,2,4,0,0,5,1,1,8,34,1,1,2,5,1
26,4,2014,244,2,3,2,80,2,3,1,1,2,1,2,2,3,1,1,8,36,1,1,4,5,2
27,8,2014,269,2,6,2,150,4,3,3,0,0,3,0,0,0,1,1,15,65,1,1,2,5,3
28,3,2014,279,2,5,3,50,2,3,1,2,3,1,2,2,4,1,1,5,27,1,2,1,2,1
29,2,2014,284,2,5,2,90,3,3,1,1,3,1,2,2,2,1,1,9,52,1,2,1,5,1
30,3,2014,288,2,6,2,80,2,3,1,1,2,1,2,2,3,1,1,8,36,1,1,2,5,1
31,3,2014,288,2,6,2,80,2,3,1,1,2,1,2,2,3,2,1,8,37,1,1,2,5,1
32,8,2014,296,2,5,2,50,2,3,2,1,3,2,0,0,3,1,1,5,27,6,1,2,5,3
33,4,2014,303,1,4,2,50,2,2,1,2,3,1,1,2,5,1,1,5,27,1,1,4,5,2
34,2,2014,309,2,3,1,80,2,4,1,1,3,1,2,1,2,1,1,8,33,6,1,2,4,1
35,2,2014,309,2,3,1,80,2,4,1,1,3,1,2,1,2,2,1,8,33,1,1,2,5,1
36,4,2014,369,2,1,1,80,2,1,0,0,0,0,0,0,0,1,1,8,36,2,1,3,5,2
37,4,2014,369,2,1,1,80,2,1,0,0,0,0,0,0,0,2,1,8,36,2,1,3,5,2
38,3,2014,379,2,8,4,90,3,1,3,0,0,3,0,0,0,1,1,11,41,1,2,1,5,1
39,9,2014,398,2,1,1,50,2,1,0,0,0,0,0,0,0,1,1,5,26,1,1,4,5,3
40,5,2014,405,1,7,2,60,2,2,3,2,3,4,0,0,2,1,1,11,41,1,1,2,8,2
41,2,2014,407,1,7,2,120,3,2,3,1,3,4,0,0,3,1,1,12,58,2,2,1,5,1
42,7,2014,422,1,5,2,110,3,3,1,1,2,1,1,2,3,1,1,12,58,5,1,2,5,3
43,1,2014,430,2,3,2,170,4,4,1,1,3,1,1,1,2,1,1,17,77,5,1,4,5,1
44,7,2014,461,2,3,1,60,2,4,1,1,3,1,2,2,2,1,1,5,27,6,2,1,5,3
45,9,2014,463,2,4,2,30,1,4,1,1,2,1,1,2,2,1,1,3,97,1,2,1,5,3
46,9,2014,463,2,4,2,30,1,4,1,1,2,1,1,2,2,2,1,3,97,1,2,1,5,3
47,9,2014,463,2,4,2,30,1,4,1,1,2,1,1,2,2,3,1,3,97,1,2,1,5,3
48,10,2014,464,2,7,2,80,2,1,3,2,3,4,0,0,5,1,1,8,36,1,1,2,5,4
49,9,2014,465,1,1,1,110,3,1,0,0,0,0,0,0,0,1,1,10,54,1,1,4,5,3
50,9,2014,465,1,1,1,110,3,1,0,0,0,0,0,0,0,2,1,11,43,1,1,4,5,3
51,5,2014,469,2,6,1,160,4,1,3,2,1,4,0,0,6,1,1,16,71,1,2,1,5,2
52,10,2014,472,2,1,1,50,2,1,0,0,0,0,0,0,0,1,1,5,25,1,1,4,5,4
53,12,2014,478,2,6,1,30,1,3,3,1,3,4,0,0,1,1,1,3,15,4,2,1,6,4
54,12,2014,478,2,6,1,30,1,3,3,1,3,4,0,0,1,2,1,3,15,4,2,1,6,4
55,12,2014,478,2,6,1,30,1,3,3,1,3,4,0,0,1,3,1,3,15,4,2,1,6,4
56,12,2014,478,2,6,1,30,1,3,3,1,3,4,0,0,1,4,1,3,15,4,2,1,6,4
57,12,2014,478,2,6,1,30,1,3,3,1,3,4,0,0,1,5,1,3,15,4,2,1,6,4
58,12,2014,478,2,6,1,30,1,3,3,1,3,4,0,0,1,6,1,3,20,4,2,1,5,4
59,12,2014,478,2,6,1,30,1,3,3,1,3,4,0,0,1,7,1,3,15,5,2,1,6,4
60,4,2014,481,1,3,1,40,2,3,2,1,3,2,0,0,3,1,1,4,21,1,1,3,5,2
61,7,2014,483,2,5,1,60,2,2,1,1,3,1,1,2,4,1,1,6,30,1,2,1,5,3
62,7,2014,483,2,5,1,60,2,2,1,1,3,1,1,2,4,2,1,5,27,1,2,1,5,3
63,4,2014,492,1,2,1,40,2,2,3,0,0,3,0,0,0,1,1,4,22,1,1,3,5,2
64,9,2014,505,2,4,2,60,2,2,3,2,2,3,0,0,5,1,1,5,28,2,1,4,5,3
65,5,2014,538,2,2,1,50,2,2,3,0,0,3,0,0,0,1,1,5,24,1,1,4,5,2
66,5,2014,538,2,2,1,50,2,2,3,0,0,3,0,0,0,2,1,5,24,1,1,4,5,2
67,4,2014,541,1,1,1,40,2,1,0,0,0,0,0,0,0,1,1,4,22,1,1,4,5,2
68,4,2014,541,1,1,1,40,2,1,0,0,0,0,0,0,0,2,1,4,22,1,1,4,5,2
69,8,2014,547,1,7,2,150,4,1,3,2,1,4,0,0,5,1,1,15,63,2,1,2,5,3
70,8,2014,547,1,7,2,150,4,1,3,2,1,4,0,0,5,2,1,15,63,1,1,2,2,3
71,6,2014,569,1,3,2,130,4,2,1,4,2,1,0,0,5,1,1,13,67,2,1,4,5,2
72,3,2014,592,2,4,1,160,4,4,2,4,3,3,0,0,4,1,1,16,73,1,2,1,5,1
73,5,2014,595,1,4,2,60,2,4,1,1,2,1,1,2,2,1,1,6,93,1,1,3,4,2
74,5,2014,595,1,4,2,60,2,4,1,1,2,1,1,2,2,2,1,6,93,2,1,3,5,2
75,5,2014,595,1,4,2,60,2,4,1,1,2,1,1,2,2,3,1,6,93,1,1,3,5,2
76,8,2014,614,1,6,2,30,1,2,1,1,3,1,1,2,2,1,1,3,999,2,1,2,5,3
77,7,2014,619,1,7,2,90,3,3,3,1,2,4,0,0,3,1,1,9,50,5,1,2,5,3
78,7,2014,619,1,7,2,90,3,3,3,1,2,4,0,0,3,2,1,9,50,5,1,2,4,3
79,5,2014,620,1,1,1,180,4,1,0,0,0,0,0,0,0,1,1,18,78,9,2,1,7,2
80,6,2014,621,2,5,1,80,2,2,1,2,3,1,1,2,4,1,1,8,38,2,2,1,5,2
81,6,2014,621,2,5,1,80,2,2,1,2,3,1,1,2,4,2,1,8,38,2,2,1,5,2
82,4,2014,639,2,3,2,80,2,4,3,1,3,3,0,0,4,1,1,8,39,8,1,2,5,2
83,4,2014,639,2,3,2,80,2,4,3,1,3,3,0,0,4,2,1,8,38,1,1,4,5,2
84,4,2014,639,2,3,2,80,2,4,3,1,3,3,0,0,4,3,1,8,37,9,1,4,5,2
85,3,2014,646,1,5,2,80,2,3,1,4,2,1,0,0,5,1,1,8,36,1,1,3,5,1
86,7,2014,681,2,5,3,50,2,2,1,2,2,1,1,2,5,1,1,5,23,1,2,1,5,3
